findFlightsBelow3000,sumPrice
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":148,""idFlight"":147,""class"":economy,""price"":567.75},{""name"":ORD},{""name"":ORD},{""idTicket"":794,""idFlight"":791,""class"":firstClass,""price"":524.4},{""name"":OMA}]",2999.4
"[{""name"":LAX},{""idTicket"":106,""idFlight"":103,""class"":firstClass,""price"":1712.3999999999999},{""name"":IAH},{""name"":IAH},{""idTicket"":529,""idFlight"":527,""class"":business,""price"":962},{""name"":ORD},{""name"":ORD},{""idTicket"":816,""idFlight"":815,""class"":economy,""price"":324.75},{""name"":PIT}]",2999.1499999999996
"[{""name"":LAX},{""idTicket"":105,""idFlight"":103,""class"":business,""price"":1427},{""name"":IAH},{""name"":IAH},{""idTicket"":529,""idFlight"":527,""class"":business,""price"":962},{""name"":ORD},{""name"":ORD},{""idTicket"":280,""idFlight"":279,""class"":economy,""price"":609.75},{""name"":BDL}]",2998.75
"[{""name"":LAX},{""idTicket"":106,""idFlight"":103,""class"":firstClass,""price"":1712.3999999999999},{""name"":IAH},{""name"":IAH},{""idTicket"":529,""idFlight"":527,""class"":business,""price"":962},{""name"":ORD},{""name"":ORD},{""idTicket"":820,""idFlight"":819,""class"":economy,""price"":324.0},{""name"":PIT}]",2998.3999999999996
"[{""name"":LAX},{""idTicket"":136,""idFlight"":135,""class"":economy,""price"":1905.0},{""name"":EWR},{""name"":EWR},{""idTicket"":148,""idFlight"":147,""class"":economy,""price"":567.75},{""name"":ORD},{""name"":ORD},{""idTicket"":502,""idFlight"":499,""class"":firstClass,""price"":525.6},{""name"":OMA}]",2998.35
"[{""name"":LAX},{""idTicket"":136,""idFlight"":135,""class"":economy,""price"":1905.0},{""name"":EWR},{""name"":EWR},{""idTicket"":148,""idFlight"":147,""class"":economy,""price"":567.75},{""name"":ORD},{""name"":ORD},{""idTicket"":802,""idFlight"":799,""class"":firstClass,""price"":525.6},{""name"":OMA}]",2998.35
"[{""name"":LAX},{""idTicket"":106,""idFlight"":103,""class"":firstClass,""price"":1712.3999999999999},{""name"":IAH},{""name"":IAH},{""idTicket"":529,""idFlight"":527,""class"":business,""price"":962},{""name"":ORD},{""name"":ORD},{""idTicket"":436,""idFlight"":435,""class"":economy,""price"":323.25},{""name"":PIT}]",2997.6499999999996
"[{""name"":LAX},{""idTicket"":106,""idFlight"":103,""class"":firstClass,""price"":1712.3999999999999},{""name"":IAH},{""name"":IAH},{""idTicket"":529,""idFlight"":527,""class"":business,""price"":962},{""name"":ORD},{""name"":ORD},{""idTicket"":208,""idFlight"":207,""class"":economy,""price"":323.25},{""name"":PIT}]",2997.6499999999996
"[{""name"":LAX},{""idTicket"":106,""idFlight"":103,""class"":firstClass,""price"":1712.3999999999999},{""name"":IAH},{""name"":IAH},{""idTicket"":521,""idFlight"":519,""class"":business,""price"":1285},{""name"":BWI}]",2997.3999999999996
"[{""name"":LAX},{""idTicket"":136,""idFlight"":135,""class"":economy,""price"":1905.0},{""name"":EWR},{""name"":EWR},{""idTicket"":148,""idFlight"":147,""class"":economy,""price"":567.75},{""name"":ORD},{""name"":ORD},{""idTicket"":794,""idFlight"":791,""class"":firstClass,""price"":524.4},{""name"":OMA}]",2997.15
"[{""name"":LAX},{""idTicket"":106,""idFlight"":103,""class"":firstClass,""price"":1712.3999999999999},{""name"":IAH},{""name"":IAH},{""idTicket"":528,""idFlight"":527,""class"":economy,""price"":721.5},{""name"":ORD},{""name"":ORD},{""idTicket"":288,""idFlight"":287,""class"":economy,""price"":563.25},{""name"":ORF}]",2997.1499999999996
"[{""name"":LAX},{""idTicket"":661,""idFlight"":659,""class"":business,""price"":249},{""name"":LAS},{""name"":LAS},{""idTicket"":360,""idFlight"":359,""class"":economy,""price"":1604.25},{""name"":IAD},{""name"":IAD},{""idTicket"":572,""idFlight"":571,""class"":economy,""price"":1143.75},{""name"":DEN}]",2997.0
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":148,""idFlight"":147,""class"":economy,""price"":567.75},{""name"":ORD},{""name"":ORD},{""idTicket"":798,""idFlight"":795,""class"":firstClass,""price"":522.0},{""name"":OMA}]",2997.0
"[{""name"":LAX},{""idTicket"":106,""idFlight"":103,""class"":firstClass,""price"":1712.3999999999999},{""name"":IAH},{""name"":IAH},{""idTicket"":700,""idFlight"":699,""class"":economy,""price"":1284.0},{""name"":SFO}]",2996.3999999999996
"[{""name"":LAX},{""idTicket"":104,""idFlight"":103,""class"":economy,""price"":1070.25},{""name"":IAH},{""name"":IAH},{""idTicket"":530,""idFlight"":527,""class"":firstClass,""price"":1154.3999999999999},{""name"":ORD},{""name"":ORD},{""idTicket"":376,""idFlight"":375,""class"":economy,""price"":770.25},{""name"":AUS}]",2994.8999999999996
"[{""name"":LAX},{""idTicket"":104,""idFlight"":103,""class"":economy,""price"":1070.25},{""name"":IAH},{""name"":IAH},{""idTicket"":530,""idFlight"":527,""class"":firstClass,""price"":1154.3999999999999},{""name"":ORD},{""name"":ORD},{""idTicket"":556,""idFlight"":555,""class"":economy,""price"":770.25},{""name"":AUS}]",2994.8999999999996
"[{""name"":LAX},{""idTicket"":136,""idFlight"":135,""class"":economy,""price"":1905.0},{""name"":EWR},{""name"":EWR},{""idTicket"":148,""idFlight"":147,""class"":economy,""price"":567.75},{""name"":ORD},{""name"":ORD},{""idTicket"":798,""idFlight"":795,""class"":firstClass,""price"":522.0},{""name"":OMA}]",2994.75
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":148,""idFlight"":147,""class"":economy,""price"":567.75},{""name"":ORD},{""name"":ORD},{""idTicket"":818,""idFlight"":815,""class"":firstClass,""price"":519.6},{""name"":PIT}]",2994.6
"[{""name"":LAX},{""idTicket"":106,""idFlight"":103,""class"":firstClass,""price"":1712.3999999999999},{""name"":IAH},{""name"":IAH},{""idTicket"":528,""idFlight"":527,""class"":economy,""price"":721.5},{""name"":ORD},{""name"":ORD},{""idTicket"":132,""idFlight"":131,""class"":economy,""price"":560.25},{""name"":EWR}]",2994.1499999999996
"[{""name"":LAX},{""idTicket"":648,""idFlight"":647,""class"":economy,""price"":2025.0},{""name"":BOS},{""name"":BOS},{""idTicket"":548,""idFlight"":547,""class"":economy,""price"":331.5},{""name"":IAD},{""name"":IAD},{""idTicket"":156,""idFlight"":155,""class"":economy,""price"":637.5},{""name"":TPA}]",2994.0
"[{""name"":LAX},{""idTicket"":105,""idFlight"":103,""class"":business,""price"":1427},{""name"":IAH},{""name"":IAH},{""idTicket"":530,""idFlight"":527,""class"":firstClass,""price"":1154.3999999999999},{""name"":ORD},{""name"":ORD},{""idTicket"":164,""idFlight"":163,""class"":economy,""price"":412.5},{""name"":ROC}]",2993.8999999999996
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":148,""idFlight"":147,""class"":economy,""price"":567.75},{""name"":ORD},{""name"":ORD},{""idTicket"":822,""idFlight"":819,""class"":firstClass,""price"":518.4},{""name"":PIT}]",2993.4
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":150,""idFlight"":147,""class"":firstClass,""price"":908.4},{""name"":ORD},{""name"":ORD},{""idTicket"":850,""idFlight"":847,""class"":firstClass,""price"":177.6},{""name"":GRR}]",2993.25
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":149,""idFlight"":147,""class"":business,""price"":757},{""name"":ORD},{""name"":ORD},{""idTicket"":500,""idFlight"":499,""class"":economy,""price"":328.5},{""name"":OMA}]",2992.75
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":149,""idFlight"":147,""class"":business,""price"":757},{""name"":ORD},{""name"":ORD},{""idTicket"":800,""idFlight"":799,""class"":economy,""price"":328.5},{""name"":OMA}]",2992.75
"[{""name"":LAX},{""idTicket"":136,""idFlight"":135,""class"":economy,""price"":1905.0},{""name"":EWR},{""name"":EWR},{""idTicket"":148,""idFlight"":147,""class"":economy,""price"":567.75},{""name"":ORD},{""name"":ORD},{""idTicket"":818,""idFlight"":815,""class"":firstClass,""price"":519.6},{""name"":PIT}]",2992.35
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":148,""idFlight"":147,""class"":economy,""price"":567.75},{""name"":ORD},{""name"":ORD},{""idTicket"":438,""idFlight"":435,""class"":firstClass,""price"":517.1999999999999},{""name"":PIT}]",2992.2
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":148,""idFlight"":147,""class"":economy,""price"":567.75},{""name"":ORD},{""name"":ORD},{""idTicket"":210,""idFlight"":207,""class"":firstClass,""price"":517.1999999999999},{""name"":PIT}]",2992.2
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":150,""idFlight"":147,""class"":firstClass,""price"":908.4},{""name"":ORD},{""name"":ORD},{""idTicket"":866,""idFlight"":863,""class"":firstClass,""price"":176.4},{""name"":GRR}]",2992.05
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":149,""idFlight"":147,""class"":business,""price"":757},{""name"":ORD},{""name"":ORD},{""idTicket"":792,""idFlight"":791,""class"":economy,""price"":327.75},{""name"":OMA}]",2992.0
"[{""name"":LAX},{""idTicket"":136,""idFlight"":135,""class"":economy,""price"":1905.0},{""name"":EWR},{""name"":EWR},{""idTicket"":148,""idFlight"":147,""class"":economy,""price"":567.75},{""name"":ORD},{""name"":ORD},{""idTicket"":822,""idFlight"":819,""class"":firstClass,""price"":518.4},{""name"":PIT}]",2991.15
"[{""name"":LAX},{""idTicket"":136,""idFlight"":135,""class"":economy,""price"":1905.0},{""name"":EWR},{""name"":EWR},{""idTicket"":150,""idFlight"":147,""class"":firstClass,""price"":908.4},{""name"":ORD},{""name"":ORD},{""idTicket"":850,""idFlight"":847,""class"":firstClass,""price"":177.6},{""name"":GRR}]",2991.0
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":150,""idFlight"":147,""class"":firstClass,""price"":908.4},{""name"":ORD},{""name"":ORD},{""idTicket"":862,""idFlight"":859,""class"":firstClass,""price"":175.2},{""name"":GRR}]",2990.85
"[{""name"":LAX},{""idTicket"":136,""idFlight"":135,""class"":economy,""price"":1905.0},{""name"":EWR},{""name"":EWR},{""idTicket"":149,""idFlight"":147,""class"":business,""price"":757},{""name"":ORD},{""name"":ORD},{""idTicket"":500,""idFlight"":499,""class"":economy,""price"":328.5},{""name"":OMA}]",2990.5
"[{""name"":LAX},{""idTicket"":136,""idFlight"":135,""class"":economy,""price"":1905.0},{""name"":EWR},{""name"":EWR},{""idTicket"":149,""idFlight"":147,""class"":business,""price"":757},{""name"":ORD},{""name"":ORD},{""idTicket"":800,""idFlight"":799,""class"":economy,""price"":328.5},{""name"":OMA}]",2990.5
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":149,""idFlight"":147,""class"":business,""price"":757},{""name"":ORD},{""name"":ORD},{""idTicket"":796,""idFlight"":795,""class"":economy,""price"":326.25},{""name"":OMA}]",2990.5
"[{""name"":LAX},{""idTicket"":648,""idFlight"":647,""class"":economy,""price"":2025.0},{""name"":BOS},{""name"":BOS},{""idTicket"":628,""idFlight"":627,""class"":economy,""price"":327.75},{""name"":IAD},{""name"":IAD},{""idTicket"":156,""idFlight"":155,""class"":economy,""price"":637.5},{""name"":TPA}]",2990.25
"[{""name"":LAX},{""idTicket"":136,""idFlight"":135,""class"":economy,""price"":1905.0},{""name"":EWR},{""name"":EWR},{""idTicket"":148,""idFlight"":147,""class"":economy,""price"":567.75},{""name"":ORD},{""name"":ORD},{""idTicket"":438,""idFlight"":435,""class"":firstClass,""price"":517.1999999999999},{""name"":PIT}]",2989.95
"[{""name"":LAX},{""idTicket"":136,""idFlight"":135,""class"":economy,""price"":1905.0},{""name"":EWR},{""name"":EWR},{""idTicket"":148,""idFlight"":147,""class"":economy,""price"":567.75},{""name"":ORD},{""name"":ORD},{""idTicket"":210,""idFlight"":207,""class"":firstClass,""price"":517.1999999999999},{""name"":PIT}]",2989.95
"[{""name"":LAX},{""idTicket"":660,""idFlight"":659,""class"":economy,""price"":186.75},{""name"":LAS},{""name"":LAS},{""idTicket"":646,""idFlight"":643,""class"":firstClass,""price"":784.8},{""name"":DEN},{""name"":DEN},{""idTicket"":214,""idFlight"":211,""class"":firstClass,""price"":2018.3999999999999},{""name"":LGA}]",2989.95
"[{""name"":LAX},{""idTicket"":136,""idFlight"":135,""class"":economy,""price"":1905.0},{""name"":EWR},{""name"":EWR},{""idTicket"":150,""idFlight"":147,""class"":firstClass,""price"":908.4},{""name"":ORD},{""name"":ORD},{""idTicket"":866,""idFlight"":863,""class"":firstClass,""price"":176.4},{""name"":GRR}]",2989.8
"[{""name"":LAX},{""idTicket"":136,""idFlight"":135,""class"":economy,""price"":1905.0},{""name"":EWR},{""name"":EWR},{""idTicket"":149,""idFlight"":147,""class"":business,""price"":757},{""name"":ORD},{""name"":ORD},{""idTicket"":792,""idFlight"":791,""class"":economy,""price"":327.75},{""name"":OMA}]",2989.75
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":150,""idFlight"":147,""class"":firstClass,""price"":908.4},{""name"":ORD},{""name"":ORD},{""idTicket"":858,""idFlight"":855,""class"":firstClass,""price"":174.0},{""name"":GRR}]",2989.65
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":149,""idFlight"":147,""class"":business,""price"":757},{""name"":ORD},{""name"":ORD},{""idTicket"":816,""idFlight"":815,""class"":economy,""price"":324.75},{""name"":PIT}]",2989.0
"[{""name"":LAX},{""idTicket"":104,""idFlight"":103,""class"":economy,""price"":1070.25},{""name"":IAH},{""name"":IAH},{""idTicket"":530,""idFlight"":527,""class"":firstClass,""price"":1154.3999999999999},{""name"":ORD},{""name"":ORD},{""idTicket"":685,""idFlight"":683,""class"":business,""price"":764},{""name"":LGA}]",2988.6499999999996
"[{""name"":LAX},{""idTicket"":136,""idFlight"":135,""class"":economy,""price"":1905.0},{""name"":EWR},{""name"":EWR},{""idTicket"":150,""idFlight"":147,""class"":firstClass,""price"":908.4},{""name"":ORD},{""name"":ORD},{""idTicket"":862,""idFlight"":859,""class"":firstClass,""price"":175.2},{""name"":GRR}]",2988.6
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":150,""idFlight"":147,""class"":firstClass,""price"":908.4},{""name"":ORD},{""name"":ORD},{""idTicket"":854,""idFlight"":851,""class"":firstClass,""price"":172.79999999999998},{""name"":GRR}]",2988.4500000000003
"[{""name"":LAX},{""idTicket"":106,""idFlight"":103,""class"":firstClass,""price"":1712.3999999999999},{""name"":IAH},{""name"":IAH},{""idTicket"":528,""idFlight"":527,""class"":economy,""price"":721.5},{""name"":ORD},{""name"":ORD},{""idTicket"":826,""idFlight"":823,""class"":firstClass,""price"":554.4},{""name"":SGF}]",2988.2999999999997
"[{""name"":LAX},{""idTicket"":136,""idFlight"":135,""class"":economy,""price"":1905.0},{""name"":EWR},{""name"":EWR},{""idTicket"":149,""idFlight"":147,""class"":business,""price"":757},{""name"":ORD},{""name"":ORD},{""idTicket"":796,""idFlight"":795,""class"":economy,""price"":326.25},{""name"":OMA}]",2988.25
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":149,""idFlight"":147,""class"":business,""price"":757},{""name"":ORD},{""name"":ORD},{""idTicket"":820,""idFlight"":819,""class"":economy,""price"":324.0},{""name"":PIT}]",2988.25
"[{""name"":LAX},{""idTicket"":104,""idFlight"":103,""class"":economy,""price"":1070.25},{""name"":IAH},{""name"":IAH},{""idTicket"":530,""idFlight"":527,""class"":firstClass,""price"":1154.3999999999999},{""name"":ORD},{""name"":ORD},{""idTicket"":409,""idFlight"":407,""class"":business,""price"":763},{""name"":LGA}]",2987.6499999999996
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":149,""idFlight"":147,""class"":business,""price"":757},{""name"":ORD},{""name"":ORD},{""idTicket"":436,""idFlight"":435,""class"":economy,""price"":323.25},{""name"":PIT}]",2987.5
"[{""name"":LAX},{""idTicket"":544,""idFlight"":543,""class"":economy,""price"":1907.25},{""name"":EWR},{""name"":EWR},{""idTicket"":149,""idFlight"":147,""class"":business,""price"":757},{""name"":ORD},{""name"":ORD},{""idTicket"":208,""idFlight"":207,""class"":economy,""price"":323.25},{""name"":PIT}]",2987.5
"[{""name"":LAX},{""idTicket"":136,""idFlight"":135,""class"":economy,""price"":1905.0},{""name"":EWR},{""name"":EWR},{""idTicket"":150,""idFlight"":147,""class"":firstClass,""price"":908.4},{""name"":ORD},{""name"":ORD},{""idTicket"":858,""idFlight"":855,""class"":firstClass,""price"":174.0},{""name"":GRR}]",2987.4
